name,area,address,source
AKPREFAB,Al Sajaa Industrial,"Al Sajjah Industrial Area, Sharjah, UAE",Web trace — company contact page
"AL MADAR MEDICAL CENTER , SHARJAH",Al Majaz 3,"Office 102, 1st Floor, Al Bassam Tower, Buheira Corniche Road, Al Majaz 3, Sharjah",Web trace — directory listing
AGMC Clinic,Al Majaz 1,"208-A, 2nd Floor, Al Fardan Centre, Buhaira Corniche Street, Sharjah",Web trace — directory listing
24 Hour Pharmacy,Muwaileh Commercial,"5090 Building, Muwaileh Commercial, Sharjah",Web trace — pharmacy directory
AL HEERAH DRUG STORE L.L.C,Industrial Area 18,"Industrial Area 18, Maliha Road, Sharjah",Web trace — company listing
Al Amal Medical Center Sharjah,Al Khan,"Al Helal Building 203, Al Khan Street, Sharjah",Web trace — directory listing
Al Ameera Pharmacy,Al Naba'a,"Mohd Bin Saqr Road, Al Qasimi Street, Al Nabba, Sharjah",Web trace — directory listing
AL FAYROUZ MEDICAL EQUIPMENTS,Al Majaz 1,"City Center Building, Showrooms 41-44, Corniche Street, Al Majaz 1, Sharjah",Web trace — directory listing
AL Raid Modern Medical center,Al Majaz 2,"Flat 204, Al Ghadeer Building, Jamal Abdul Naser Street, Al Majaz 2, Sharjah",Web trace — directory listing
Al Bayan Medical Center,Al Majaz 1,"Office 1602, Sarh Al Emarat Tower, Corniche Street, Al Majaz, Sharjah",Web trace — directory listing
AL HAYAT PHARMACEUTICALS,Industrial Area 11,"Industrial Area 11, Maliha Road, Street 26, Sharjah",Web trace — company contact page
7KINGS FITNESS CENTER,EXCLUDE,"Mirbah, Fujairah — not in Sharjah",Web trace — company contact page
ALKHOR MEDICAL CENTER L L C,Khorfakkan,"Al Hayawa 4, near Khorfakkan sea port, Sharjah",Web trace — company site
ASPEN MEDICAL EQUIP TR,King Faisal Street,"Office 303, Faisal Tower 1, King Faisal Street, Sharjah",Web trace — company contact page
AUSTIN DENTAL LABORATORY LLC,Al Naba'a,"304, Noor Al Sham Optics Building, Al Zahraa Street, Al Naba'a, Sharjah",Web trace — directory listing
Al Afdal Medical,Al Qasimia,"Al Tawoos Building, King Abdul Aziz Road, Al Mahatta, Al Qasimia, Sharjah",Web trace — directory listing
Al Moosa Private Medical Center,Al Majaz 1,"Crystal Plaza Block C, 403 Corniche Road, Al Majaz 1, Sharjah",Web trace — directory listing
Al Jazeerah Dental Clinic,Al Majaz 3,"Sheikh Mohammad Building, Ground Floor, Al Khan Street, Al Majaz 3, Sharjah",Web trace — directory listing
Al Dimashqi Medical Center,Al Majaz 1,"Clinic 205, Sarh Al Emarat Tower, Corniche Street, Al Majaz, Sharjah",Web trace — directory listing
Al Fasht Specialist Clinic,Al Nahda,"Mohammed Al Mulla Tower, Al Ittihad Street, next to Ansar Mall, Al Nahda, Sharjah",Web trace — directory listing
Al Fasht Medical Centre,Al Nahda,"Mohammed Al Mulla Tower, Al Ittihad Street, Al Nahda, Sharjah",Web trace — directory listing
Al Jazzat Medical Center,Al Jazzat,"Villa 227, Sheikh Muhammad Bin Sultan Al Qasimi Street, Al Jazzat, Al Riqa Suburb, Sharjah",Web trace — directory listing
Al Amin Opticals Group,Maysaloon,"First Floor, Sharmax Building, Kuwait Square, Maysaloon, Sharjah (head office)",Web trace — company store list
Al Mushan Typing & Emirates ID Center,Rolla,"CM-1, Mezzanine Floor, Burj 2000 (Damas 14), near Central Post Office, Rolla, Sharjah",Web trace — company contact page
Al Qassimi Hospital,Al Khezamia,"293/4 Al Wasit Street, Al Khezamia, Mughaidir Suburb, Sharjah",Web trace — directory listing
Al Qemah Medical Center,Al Majaz 3,"Office 804, Al Hilal Tower, Corniche Street, Al Majaz 3, Sharjah",Web trace — directory listing
Al Safwa Radiology Center,Al Nud,"3rd Floor Tower C, Al Marzouqi Towers (CG Mall), King Faisal Street, Al Nud, Al Qasimia, Sharjah",Web trace — company contact page
Al Sanabel Medical center,Al Majaz 1,"Office 604-605, 6th Floor, Golden Tower, 335 Corniche Street, Al Majaz 1, Sharjah",Web trace — directory listing
Al Sherouq Medical Center,Rolla,"Orient Building, 1st Floor, Al Arouba Street, Rolla, Sharjah",Web trace — directory listing
Al Shaghaf Medical Center,Al Taawun,"Suite 104, Al Hil Tower, New Al Taawun Road, Al Khan, Sharjah",Web trace — directory listing
Al Taj Smart Medical Examination Centre,Al Wahda Street,"1st Floor, Sharjah City Centre, Al Wahda Road, Sharjah",Web trace — company contact page
Al Tamimi Drug Store,Industrial Area 10,"46 Fourth Industrial Street, Industrial Area 10, Sharjah",Web trace — company site
Al Waleed Optics,Al Shahba,"Al Shahba Plaza, Wasit Street, Al Shahba, Mughaidir, Sharjah",Web trace — directory listing
Al Waseet Pharmacy,Al Qulayaah,"Shop 02, Ground Floor, Regal Building, Al Sharq Street, Al Qulaya'ah, Sharjah",Web trace — pharmacy directory
Al Safeer General Clinic,Industrial Area 2,"Jamal Adil Murad Building, Yanbu Street, Industrial Area 2, Sharjah",Web trace — directory listing
Al Saha & Al Jawdah Drug Store,Industrial Area 10,"Internet Building, Third Industrial Street, Industrial Area 10, Sharjah",Web trace — company site
Al Resalah Medical Center,Al Majaz 3,"302-303, 3rd Floor, Crescent House, Al Majaz 3, Sharjah",Web trace — company contact page
Al Resalah Physiotherapy Center,Al Majaz 3,"302-303, 3rd Floor, Crescent House, Al Majaz 3, Sharjah",Web trace — company contact page
Al Rafeeq Veterinary Clinic,Muwaileh Commercial,"Shop 3, TARF-3 Building, New Commercial Muwaileh, Sharjah",Web trace — company contact page
Al Qaser Medical Center,Al Majaz 3,"Office 901 & 906, 9th Floor, Emirates Sail Tower, Buheira Corniche Road, Al Majaz 3, Sharjah",Web trace — directory listing
Al Safa Medical,Al Buhairah Corniche,"Buhairah Corniche Street, Sharjah",Web trace — company page
Al Zeyarat Home Health Care Centre,Al Majaz 1,"Office 402, Al Buhaira Building, Corniche Street, Al Majaz 1, Sharjah",Web trace — directory listing
Alpha Pharmacy UAE,Al Khan,"Al Shahd Tower, Al Khan 2 Street, Sharjah",Web trace — pharmacy directory
Al Enaya & Al Jamal Medical Center,Al Majaz 3,"401, 4th Floor, The First Tower, Al Khan Street, Al Majaz, Sharjah",Web trace — directory listing
